Date,Close_AMZN,Close_GOOGL,Close_META,Close_MSFT,Close_NVDA,High_AMZN,High_GOOGL,High_META,High_MSFT,High_NVDA,Low_AMZN,Low_GOOGL,Low_META,Low_MSFT,Low_NVDA,Open_AMZN,Open_GOOGL,Open_META,Open_MSFT,Open_NVDA,Volume_AMZN,Volume_GOOGL,Volume_META,Volume_MSFT,Volume_NVDA
2024-12-03,213.44,171.144,613.65,431.2,140.25,214.02,172.482,614.2,432.47,140.53,209.65,170.654,591.2501,427.74,137.94,210.31,171.294,595.0,429.84,138.25,32214828.0,22274203.0,14907164.0,18301987.0,164425293.0
2024-12-02,210.71,171.294,592.83,430.98,138.62,212.99,171.878,594.5,433.0,140.44,209.5101,168.377,575.57,421.31,137.816,209.96,168.572,577.5,421.57,138.82,39523185.0,23816347.0,12522371.0,20207223.0,171694606.0
2024-11-29,207.89,168.757,574.32,423.46,138.24,208.2,169.236,578.46,424.8849,139.34,204.59,166.969,566.9,417.8,136.041,205.83,168.307,569.0,420.09,136.771,24892447.0,14273583.0,7130519.0,16271921.0,141872930.0
2024-11-27,205.74,169.036,569.2,422.99,135.331,207.64,169.289,574.98,427.2299,137.211,205.05,167.828,564.1001,422.02,131.791,206.98,168.807,574.97,425.105,135.001,28061638.0,19288591.0,7200228.0,18332444.0,226386509.0
2024-11-26,207.86,168.926,573.54,427.99,136.911,208.0,169.626,577.5,429.0414,139.29,201.79,167.388,565.2,418.85,135.661,201.9,167.438,566.0,419.585,137.691,41673737.0,20510199.0,10356550.0,23458889.0,190300765.0
2024-11-25,201.45,167.458,565.11,418.79,136.011,201.9499,168.437,572.5915,421.08,142.04,199.0,165.418,556.39,414.85,135.811,199.28,165.9,562.1,418.38,141.98,40685672.0,33173238.0,13599830.0,27691090.0,344965642.0
2024-11-22,197.12,164.571,559.14,417.0,141.94,199.2599,166.269,563.8273,417.4,147.15,196.75,163.712,554.59,411.06,141.09,198.25,165.66,563.55,411.365,145.92,31530844.0,38648830.0,9164004.0,24814626.0,236422443.0
2024-11-21,198.38,167.438,563.09,412.87,146.66,203.49,173.931,570.0,419.78,152.879,195.75,163.513,549.05,410.2887,140.69,203.49,173.701,569.52,419.5,149.34,58800042.0,59802838.0,11154749.0,20780162.0,400974196.0
2024-11-20,202.88,175.779,565.52,414.66,145.88,203.13,177.472,566.3499,416.456,147.55,199.45,173.581,554.2001,409.76,142.72,202.98,177.137,562.93,416.037,147.4,32768989.0,19018882.0,9797339.0,19230069.782395,309893005.0
2024-11-19,204.61,177.916,561.09,416.955,147.0,205.3,178.665,561.43,417.105,147.12,198.78,173.361,550.6,410.728,140.98,199.33,173.521,552.3,412.285,141.31,31197867.0,23461782.0,9522445.0,18169825.795174,227850610.0
2024-11-18,201.7,175.099,554.4,414.929,140.14,204.67,175.237,559.9,417.568,141.54,200.95,172.702,550.09,411.277,137.141,204.15,173.221,557.04,414.041,139.49,36512465.0,20229771.0,14346715.0,24791537.600427,221881280.0
2024-11-15,202.61,172.293,554.08,414.171,141.97,207.34,173.941,572.57,421.955,145.23,199.61,171.024,551.5,412.814,140.07,206.76,173.531,571.22,418.981,144.86,86591144.0,32541901.0,17712864.0,28304185.611311,250150104.0
2024-11-14,211.48,175.379,577.16,426.037,146.75,215.9,178.615,580.76,427.315,148.99,210.88,174.122,573.01,419.161,145.54,214.16,178.076,577.0,424.151,147.63,42620309.0,31042993.0,11053743.0,30307424.36386,194476700.0
2024-11-13,214.1,178.675,580.0,424.351,146.26,215.09,180.753,585.64,428.467,149.32,209.14,178.336,575.17,417.375,145.89,209.4,180.253,582.605,420.798,149.06,46212943.0,23210573.0,10757583.0,21545224.631433,191916489.0
2024-11-12,208.91,181.412,584.82,422.185,148.28,209.54,182.281,599.66,423.592,149.64,206.01,179.185,580.38,416.367,146.0,208.37,179.614,588.545,417.414,146.77,38942918.0,25163711.0,16287724.0,19440038.224034,198648424.0
2024-11-11,206.84,180.144,583.17,417.175,145.25,209.65,180.338,587.0,423.961,148.84,205.59,178.266,576.51,415.169,143.56,208.5,178.376,586.36,421.671,148.67,35456012.0,17470353.0,10209051.0,24552367.824996,182338182.0
2024-11-08,208.18,178.146,589.34,421.696,147.62,209.9633,180.693,593.1,425.648,149.76,207.44,177.876,584.52,420.937,146.25,209.72,180.438,591.54,424.47,148.76,36075846.0,22031402.0,9415699.0,16925224.52823,175677934.0
2024-11-07,210.05,180.543,591.7,424.58,148.87,212.25,180.873,594.7999,425.997,148.92,207.19,176.987,575.21,419.041,146.16,207.44,177.207,576.89,420.438,146.38,52878383.0,25381995.0,14653708.0,19941618.200932,207337588.0
2024-11-06,207.09,176.308,572.05,419.341,145.6,207.55,176.737,573.0,419.61,146.48,199.14,173.301,555.1679,409.7,141.95,200.01,173.601,562.75,411.596,142.95,72292167.0,33734155.0,18305429.0,26735249.439553,242060622.0
2024-11-05,199.5,169.546,572.43,410.638,139.9,199.82,170.335,573.48,414.071,140.36,195.99,168.647,566.67,407.265,137.321,196.04,169.236,567.305,407.554,137.441,30564784.0,18262956.0,9775379.0,17661291.926895,160548434.0
2024-11-04,195.78,169.046,560.68,407.644,136.041,197.33,170.535,568.69,409.595,138.95,194.3101,167.819,557.89,404.761,135.561,196.45,169.735,564.1,408.971,137.201,38492062.0,21517376.0,12064601.0,19711662.832582,187541094.0
